0,Black,#000000,0,0,0
1,White,#FFFFFF,255,255,255
2,Red,#FF0000,255,0,0
3,Lime,#00FF00,0,255,0
4,Blue,#0000FF,0,0,255
5,Yellow,#FFFF00,255,255,0
6,Cyan,#00FFFF,0,255,255
7,Magenta,#FF00FF,255,0,255
8,Silver,#C0C0C0,192,192,192
9,Gray,#808080,128,128,128
10,Maroon,#800000,128,0,0
11,Olive,#808000,128,128,0
12,Green,#008000,0,128,0
13,Purple,#800080,128,0,128
14,Teal,#008080,0,128,128
15,Navy,#000080,0,0,128
16,Orange,#FFA500,255,165,0
17,Pink,#FFC0CB,255,192,203
18,Brown,#A52A2A,165,42,42
19,Gold,#FFD700,255,215,0
20,Beige,#F5F5DC,245,245,220
21,Coral,#FF7F50,255,127,80
22,DarkGreen,#006400,0,100,0
23,DarkRed,#8B0000,139,0,0
24,Indigo,#4B0082,75,0,130
25,Violet,#EE82EE,238,130,238
26,Turquoise,#40E0D0,64,224,208
27,Aquamarine,#7FFFD4,127,255,212
28,Khaki,#F0E68C,240,230,140
29,Salmon,#FA8072,250,128,114
30,Chocolate,#D2691E,210,105,30
31,Tomato,#FF6347,255,99,71
32,Orchid,#DA70D6,218,112,214
33,Plum,#DDA0DD,221,160,221
34,SlateGray,#708090,112,128,144
35,DarkSlateBlue,#483D8B,72,61,139
36,LightSteelBlue,#B0C4DE,176,196,222
37,MediumSeaGreen,#3CB371,60,179,113
38,IndianRed,#CD5C5C,205,92,92
39,DarkOrchid,#9932CC,153,50,204
40,Crimson,#DC143C,220,20,60
41,FireBrick,#B22222,178,34,34
42,Moccasin,#FFE4B5,255,228,181
43,LawnGreen,#7CFC00,124,252,0
44,MidnightBlue,#191970,25,25,112
45,SeaGreen,#2E8B57,46,139,87
46,DeepPink,#FF1493,255,20,147
47,SkyBlue,#87CEEB,135,206,235
48,SteelBlue,#4682B4,70,130,180
49,Sienna,#A0522D,160,82,45
